"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1500000US110010001011","Block Group 1; Census Tract 1.01; District of Columbia; District of Columbia","1097","223",
"1500000US110010001021","Block Group 1; Census Tract 1.02; District of Columbia; District of Columbia","1352","293",
"1500000US110010001022","Block Group 2; Census Tract 1.02; District of Columbia; District of Columbia","1031","304",
"1500000US110010001023","Block Group 3; Census Tract 1.02; District of Columbia; District of Columbia","744","279",
"1500000US110010002011","Block Group 1; Census Tract 2.01; District of Columbia; District of Columbia","0","14",
"1500000US110010002012","Block Group 2; Census Tract 2.01; District of Columbia; District of Columbia","2384","35",
"1500000US110010002021","Block Group 1; Census Tract 2.02; District of Columbia; District of Columbia","920","329",
"1500000US110010002022","Block Group 2; Census Tract 2.02; District of Columbia; District of Columbia","656","206",
"1500000US110010002023","Block Group 3; Census Tract 2.02; District of Columbia; District of Columbia","843","363",
"1500000US110010002024","Block Group 4; Census Tract 2.02; District of Columbia; District of Columbia","1500","330",
"1500000US110010003001","Block Group 1; Census Tract 3; District of Columbia; District of Columbia","1199","373",
"1500000US110010003002","Block Group 2; Census Tract 3; District of Columbia; District of Columbia","1674","609",
"1500000US110010003003","Block Group 3; Census Tract 3; District of Columbia; District of Columbia","1665","538",
"1500000US110010003004","Block Group 4; Census Tract 3; District of Columbia; District of Columbia","1441","451",
"1500000US110010004001","Block Group 1; Census Tract 4; District of Columbia; District of Columbia","733","205",
"1500000US110010004002","Block Group 2; Census Tract 4; District of Columbia; District of Columbia","919","292",
"1500000US110010005011","Block Group 1; Census Tract 5.01; District of Columbia; District of Columbia","1147","328",
"1500000US110010005012","Block Group 2; Census Tract 5.01; District of Columbia; District of Columbia","1085","301",
"1500000US110010005013","Block Group 3; Census Tract 5.01; District of Columbia; District of Columbia","1362","459",
"1500000US110010005021","Block Group 1; Census Tract 5.02; District of Columbia; District of Columbia","1709","319",
"1500000US110010005022","Block Group 2; Census Tract 5.02; District of Columbia; District of Columbia","1675","501",
"1500000US110010006001","Block Group 1; Census Tract 6; District of Columbia; District of Columbia","1218","334",
"1500000US110010006002","Block Group 2; Census Tract 6; District of Columbia; District of Columbia","980","224",
"1500000US110010006003","Block Group 3; Census Tract 6; District of Columbia; District of Columbia","711","316",
"1500000US110010006004","Block Group 4; Census Tract 6; District of Columbia; District of Columbia","1639","470",
"1500000US110010007021","Block Group 1; Census Tract 7.02; District of Columbia; District of Columbia","1189","305",
"1500000US110010007022","Block Group 2; Census Tract 7.02; District of Columbia; District of Columbia","938","340",
"1500000US110010007023","Block Group 3; Census Tract 7.02; District of Columbia; District of Columbia","794","293",
"1500000US110010007031","Block Group 1; Census Tract 7.03; District of Columbia; District of Columbia","1381","419",
"1500000US110010007032","Block Group 2; Census Tract 7.03; District of Columbia; District of Columbia","1597","295",
"1500000US110010007041","Block Group 1; Census Tract 7.04; District of Columbia; District of Columbia","1570","463",
"1500000US110010007042","Block Group 2; Census Tract 7.04; District of Columbia; District of Columbia","1090","303",
"1500000US110010008021","Block Group 1; Census Tract 8.02; District of Columbia; District of Columbia","2364","492",
"1500000US110010008022","Block Group 2; Census Tract 8.02; District of Columbia; District of Columbia","942","333",
"1500000US110010008031","Block Group 1; Census Tract 8.03; District of Columbia; District of Columbia","793","233",
"1500000US110010008032","Block Group 2; Census Tract 8.03; District of Columbia; District of Columbia","619","245",
"1500000US110010008033","Block Group 3; Census Tract 8.03; District of Columbia; District of Columbia","1052","330",
"1500000US110010008041","Block Group 1; Census Tract 8.04; District of Columbia; District of Columbia","955","309",
"1500000US110010008042","Block Group 2; Census Tract 8.04; District of Columbia; District of Columbia","787","253",
"1500000US110010008043","Block Group 3; Census Tract 8.04; District of Columbia; District of Columbia","1932","664",
"1500000US110010009021","Block Group 1; Census Tract 9.02; District of Columbia; District of Columbia","748","145",
"1500000US110010009022","Block Group 2; Census Tract 9.02; District of Columbia; District of Columbia","1562","425",
"1500000US110010009031","Block Group 1; Census Tract 9.03; District of Columbia; District of Columbia","1729","48",
"1500000US110010009032","Block Group 2; Census Tract 9.03; District of Columbia; District of Columbia","1055","232",
"1500000US110010009041","Block Group 1; Census Tract 9.04; District of Columbia; District of Columbia","1901","455",
"1500000US110010009042","Block Group 2; Census Tract 9.04; District of Columbia; District of Columbia","1320","275",
"1500000US110010010021","Block Group 1; Census Tract 10.02; District of Columbia; District of Columbia","559","179",
"1500000US110010010022","Block Group 2; Census Tract 10.02; District of Columbia; District of Columbia","1150","351",
"1500000US110010010023","Block Group 3; Census Tract 10.02; District of Columbia; District of Columbia","845","371",
"1500000US110010010024","Block Group 4; Census Tract 10.02; District of Columbia; District of Columbia","884","393",
"1500000US110010010031","Block Group 1; Census Tract 10.03; District of Columbia; District of Columbia","1068","328",
"1500000US110010010032","Block Group 2; Census Tract 10.03; District of Columbia; District of Columbia","965","531",
"1500000US110010010033","Block Group 3; Census Tract 10.03; District of Columbia; District of Columbia","956","265",
"1500000US110010010041","Block Group 1; Census Tract 10.04; District of Columbia; District of Columbia","801","327",
"1500000US110010010042","Block Group 2; Census Tract 10.04; District of Columbia; District of Columbia","1835","357",
"1500000US110010010043","Block Group 3; Census Tract 10.04; District of Columbia; District of Columbia","1379","308",
"1500000US110010011001","Block Group 1; Census Tract 11; District of Columbia; District of Columbia","1270","317",
"1500000US110010011002","Block Group 2; Census Tract 11; District of Columbia; District of Columbia","1402","281",
"1500000US110010011003","Block Group 3; Census Tract 11; District of Columbia; District of Columbia","556","269",
"1500000US110010011004","Block Group 4; Census Tract 11; District of Columbia; District of Columbia","1499","530",
"1500000US110010012001","Block Group 1; Census Tract 12; District of Columbia; District of Columbia","2152","559",
"1500000US110010012002","Block Group 2; Census Tract 12; District of Columbia; District of Columbia","963","277",
"1500000US110010012003","Block Group 3; Census Tract 12; District of Columbia; District of Columbia","753","287",
"1500000US110010012004","Block Group 4; Census Tract 12; District of Columbia; District of Columbia","1051","273",
"1500000US110010013011","Block Group 1; Census Tract 13.01; District of Columbia; District of Columbia","1434","422",
"1500000US110010013012","Block Group 2; Census Tract 13.01; District of Columbia; District of Columbia","718","299",
"1500000US110010013013","Block Group 3; Census Tract 13.01; District of Columbia; District of Columbia","561","290",
"1500000US110010013014","Block Group 4; Census Tract 13.01; District of Columbia; District of Columbia","1328","418",
"1500000US110010013031","Block Group 1; Census Tract 13.03; District of Columbia; District of Columbia","1077","295",
"1500000US110010013032","Block Group 2; Census Tract 13.03; District of Columbia; District of Columbia","811","277",
"1500000US110010013033","Block Group 3; Census Tract 13.03; District of Columbia; District of Columbia","810","377",
"1500000US110010013034","Block Group 4; Census Tract 13.03; District of Columbia; District of Columbia","882","388",
"1500000US110010013041","Block Group 1; Census Tract 13.04; District of Columbia; District of Columbia","1444","240",
"1500000US110010013042","Block Group 2; Census Tract 13.04; District of Columbia; District of Columbia","933","362",
"1500000US110010013043","Block Group 3; Census Tract 13.04; District of Columbia; District of Columbia","681","205",
"1500000US110010013044","Block Group 4; Census Tract 13.04; District of Columbia; District of Columbia","1114","595",
"1500000US110010014011","Block Group 1; Census Tract 14.01; District of Columbia; District of Columbia","2033","319",
"1500000US110010014012","Block Group 2; Census Tract 14.01; District of Columbia; District of Columbia","1293","432",
"1500000US110010014021","Block Group 1; Census Tract 14.02; District of Columbia; District of Columbia","818","251",
"1500000US110010014022","Block Group 2; Census Tract 14.02; District of Columbia; District of Columbia","1065","277",
"1500000US110010014023","Block Group 3; Census Tract 14.02; District of Columbia; District of Columbia","1589","392",
"1500000US110010015001","Block Group 1; Census Tract 15; District of Columbia; District of Columbia","1634","561",
"1500000US110010015002","Block Group 2; Census Tract 15; District of Columbia; District of Columbia","791","241",
"1500000US110010015003","Block Group 3; Census Tract 15; District of Columbia; District of Columbia","646","224",
"1500000US110010015004","Block Group 4; Census Tract 15; District of Columbia; District of Columbia","1633","468",
"1500000US110010015005","Block Group 5; Census Tract 15; District of Columbia; District of Columbia","1100","567",
"1500000US110010016001","Block Group 1; Census Tract 16; District of Columbia; District of Columbia","1355","442",
"1500000US110010016002","Block Group 2; Census Tract 16; District of Columbia; District of Columbia","469","165",
"1500000US110010016003","Block Group 3; Census Tract 16; District of Columbia; District of Columbia","954","312",
"1500000US110010016004","Block Group 4; Census Tract 16; District of Columbia; District of Columbia","1699","419",
"1500000US110010017021","Block Group 1; Census Tract 17.02; District of Columbia; District of Columbia","1435","351",
"1500000US110010017022","Block Group 2; Census Tract 17.02; District of Columbia; District of Columbia","1850","371",
"1500000US110010018031","Block Group 1; Census Tract 18.03; District of Columbia; District of Columbia","1398","497",
"1500000US110010018032","Block Group 2; Census Tract 18.03; District of Columbia; District of Columbia","1597","570",
"1500000US110010018033","Block Group 3; Census Tract 18.03; District of Columbia; District of Columbia","1223","421",
"1500000US110010018041","Block Group 1; Census Tract 18.04; District of Columbia; District of Columbia","1056","619",
"1500000US110010018042","Block Group 2; Census Tract 18.04; District of Columbia; District of Columbia","1961","862",
"1500000US110010018043","Block Group 3; Census Tract 18.04; District of Columbia; District of Columbia","2149","750",
"1500000US110010019011","Block Group 1; Census Tract 19.01; District of Columbia; District of Columbia","1073","444",
"1500000US110010019012","Block Group 2; Census Tract 19.01; District of Columbia; District of Columbia","634","239",
"1500000US110010019013","Block Group 3; Census Tract 19.01; District of Columbia; District of Columbia","1216","442",
"1500000US110010019014","Block Group 4; Census Tract 19.01; District of Columbia; District of Columbia","1705","1158",
"1500000US110010019021","Block Group 1; Census Tract 19.02; District of Columbia; District of Columbia","1440","246",
"1500000US110010019022","Block Group 2; Census Tract 19.02; District of Columbia; District of Columbia","833","260",
"1500000US110010020011","Block Group 1; Census Tract 20.01; District of Columbia; District of Columbia","2638","878",
"1500000US110010020012","Block Group 2; Census Tract 20.01; District of Columbia; District of Columbia","802","232",
"1500000US110010020021","Block Group 1; Census Tract 20.02; District of Columbia; District of Columbia","1339","553",
"1500000US110010020022","Block Group 2; Census Tract 20.02; District of Columbia; District of Columbia","992","382",
"1500000US110010020023","Block Group 3; Census Tract 20.02; District of Columbia; District of Columbia","2061","351",
"1500000US110010021011","Block Group 1; Census Tract 21.01; District of Columbia; District of Columbia","1483","890",
"1500000US110010021012","Block Group 2; Census Tract 21.01; District of Columbia; District of Columbia","1547","709",
"1500000US110010021013","Block Group 3; Census Tract 21.01; District of Columbia; District of Columbia","1502","687",
"1500000US110010021014","Block Group 4; Census Tract 21.01; District of Columbia; District of Columbia","666","329",
"1500000US110010021015","Block Group 5; Census Tract 21.01; District of Columbia; District of Columbia","821","498",
"1500000US110010021021","Block Group 1; Census Tract 21.02; District of Columbia; District of Columbia","926","345",
"1500000US110010021022","Block Group 2; Census Tract 21.02; District of Columbia; District of Columbia","1171","452",
"1500000US110010021023","Block Group 3; Census Tract 21.02; District of Columbia; District of Columbia","725","211",
"1500000US110010021024","Block Group 4; Census Tract 21.02; District of Columbia; District of Columbia","559","339",
"1500000US110010021025","Block Group 5; Census Tract 21.02; District of Columbia; District of Columbia","614","374",
"1500000US110010021026","Block Group 6; Census Tract 21.02; District of Columbia; District of Columbia","773","338",
"1500000US110010022011","Block Group 1; Census Tract 22.01; District of Columbia; District of Columbia","869","247",
"1500000US110010022012","Block Group 2; Census Tract 22.01; District of Columbia; District of Columbia","1999","703",
"1500000US110010022013","Block Group 3; Census Tract 22.01; District of Columbia; District of Columbia","597","247",
"1500000US110010022021","Block Group 1; Census Tract 22.02; District of Columbia; District of Columbia","1789","737",
"1500000US110010022022","Block Group 2; Census Tract 22.02; District of Columbia; District of Columbia","622","278",
"1500000US110010022023","Block Group 3; Census Tract 22.02; District of Columbia; District of Columbia","821","221",
"1500000US110010023011","Block Group 1; Census Tract 23.01; District of Columbia; District of Columbia","1397","445",
"1500000US110010023012","Block Group 2; Census Tract 23.01; District of Columbia; District of Columbia","1836","397",
"1500000US110010023021","Block Group 1; Census Tract 23.02; District of Columbia; District of Columbia","0","14",
"1500000US110010023022","Block Group 2; Census Tract 23.02; District of Columbia; District of Columbia","1039","166",
"1500000US110010023023","Block Group 3; Census Tract 23.02; District of Columbia; District of Columbia","563","177",
"1500000US110010024001","Block Group 1; Census Tract 24; District of Columbia; District of Columbia","762","208",
"1500000US110010024002","Block Group 2; Census Tract 24; District of Columbia; District of Columbia","1164","507",
"1500000US110010024003","Block Group 3; Census Tract 24; District of Columbia; District of Columbia","1128","289",
"1500000US110010024004","Block Group 4; Census Tract 24; District of Columbia; District of Columbia","803","241",
"1500000US110010025011","Block Group 1; Census Tract 25.01; District of Columbia; District of Columbia","1452","745",
"1500000US110010025012","Block Group 2; Census Tract 25.01; District of Columbia; District of Columbia","1529","217",
"1500000US110010025031","Block Group 1; Census Tract 25.03; District of Columbia; District of Columbia","1095","633",
"1500000US110010025032","Block Group 2; Census Tract 25.03; District of Columbia; District of Columbia","1648","436",
"1500000US110010025041","Block Group 1; Census Tract 25.04; District of Columbia; District of Columbia","1199","383",
"1500000US110010025042","Block Group 2; Census Tract 25.04; District of Columbia; District of Columbia","1929","636",
"1500000US110010026001","Block Group 1; Census Tract 26; District of Columbia; District of Columbia","1181","283",
"1500000US110010026002","Block Group 2; Census Tract 26; District of Columbia; District of Columbia","1449","380",
"1500000US110010027021","Block Group 1; Census Tract 27.02; District of Columbia; District of Columbia","1416","477",
"1500000US110010027022","Block Group 2; Census Tract 27.02; District of Columbia; District of Columbia","1589","411",
"1500000US110010027023","Block Group 3; Census Tract 27.02; District of Columbia; District of Columbia","1156","381",
"1500000US110010027024","Block Group 4; Census Tract 27.02; District of Columbia; District of Columbia","1407","537",
"1500000US110010027031","Block Group 1; Census Tract 27.03; District of Columbia; District of Columbia","577","269",
"1500000US110010027032","Block Group 2; Census Tract 27.03; District of Columbia; District of Columbia","1853","312",
"1500000US110010027041","Block Group 1; Census Tract 27.04; District of Columbia; District of Columbia","1216","473",
"1500000US110010027042","Block Group 2; Census Tract 27.04; District of Columbia; District of Columbia","1999","604",
"1500000US110010028011","Block Group 1; Census Tract 28.01; District of Columbia; District of Columbia","1651","306",
"1500000US110010028012","Block Group 2; Census Tract 28.01; District of Columbia; District of Columbia","2167","498",
"1500000US110010028021","Block Group 1; Census Tract 28.02; District of Columbia; District of Columbia","2319","791",
"1500000US110010028022","Block Group 2; Census Tract 28.02; District of Columbia; District of Columbia","1213","489",
"1500000US110010028023","Block Group 3; Census Tract 28.02; District of Columbia; District of Columbia","1883","921",
"1500000US110010029001","Block Group 1; Census Tract 29; District of Columbia; District of Columbia","1819","400",
"1500000US110010029002","Block Group 2; Census Tract 29; District of Columbia; District of Columbia","2757","649",
"1500000US110010030001","Block Group 1; Census Tract 30; District of Columbia; District of Columbia","1819","322",
"1500000US110010030002","Block Group 2; Census Tract 30; District of Columbia; District of Columbia","2059","539",
"1500000US110010031001","Block Group 1; Census Tract 31; District of Columbia; District of Columbia","1211","399",
"1500000US110010031002","Block Group 2; Census Tract 31; District of Columbia; District of Columbia","2240","600",
"1500000US110010032001","Block Group 1; Census Tract 32; District of Columbia; District of Columbia","1156","859",
"1500000US110010032002","Block Group 2; Census Tract 32; District of Columbia; District of Columbia","928","263",
"1500000US110010032003","Block Group 3; Census Tract 32; District of Columbia; District of Columbia","1020","358",
"1500000US110010032004","Block Group 4; Census Tract 32; District of Columbia; District of Columbia","1032","348",
"1500000US110010033011","Block Group 1; Census Tract 33.01; District of Columbia; District of Columbia","904","331",
"1500000US110010033012","Block Group 2; Census Tract 33.01; District of Columbia; District of Columbia","1258","306",
"1500000US110010033013","Block Group 3; Census Tract 33.01; District of Columbia; District of Columbia","1544","494",
"1500000US110010033021","Block Group 1; Census Tract 33.02; District of Columbia; District of Columbia","1098","182",
"1500000US110010033022","Block Group 2; Census Tract 33.02; District of Columbia; District of Columbia","1275","418",
"1500000US110010034001","Block Group 1; Census Tract 34; District of Columbia; District of Columbia","919","288",
"1500000US110010034002","Block Group 2; Census Tract 34; District of Columbia; District of Columbia","0","14",
"1500000US110010034003","Block Group 3; Census Tract 34; District of Columbia; District of Columbia","1536","528",
"1500000US110010034004","Block Group 4; Census Tract 34; District of Columbia; District of Columbia","372","228",
"1500000US110010034005","Block Group 5; Census Tract 34; District of Columbia; District of Columbia","973","181",
"1500000US110010035001","Block Group 1; Census Tract 35; District of Columbia; District of Columbia","1088","248",
"1500000US110010035002","Block Group 2; Census Tract 35; District of Columbia; District of Columbia","2147","312",
"1500000US110010035003","Block Group 3; Census Tract 35; District of Columbia; District of Columbia","720","224",
"1500000US110010036001","Block Group 1; Census Tract 36; District of Columbia; District of Columbia","1917","551",
"1500000US110010036002","Block Group 2; Census Tract 36; District of Columbia; District of Columbia","1692","639",
"1500000US110010036003","Block Group 3; Census Tract 36; District of Columbia; District of Columbia","1021","348",
"1500000US110010037011","Block Group 1; Census Tract 37.01; District of Columbia; District of Columbia","747","247",
"1500000US110010037012","Block Group 2; Census Tract 37.01; District of Columbia; District of Columbia","1396","279",
"1500000US110010037021","Block Group 1; Census Tract 37.02; District of Columbia; District of Columbia","707","292",
"1500000US110010037022","Block Group 2; Census Tract 37.02; District of Columbia; District of Columbia","2246","828",
"1500000US110010038011","Block Group 1; Census Tract 38.01; District of Columbia; District of Columbia","678","161",
"1500000US110010038012","Block Group 2; Census Tract 38.01; District of Columbia; District of Columbia","817","192",
"1500000US110010038021","Block Group 1; Census Tract 38.02; District of Columbia; District of Columbia","1097","413",
"1500000US110010038022","Block Group 2; Census Tract 38.02; District of Columbia; District of Columbia","1093","331",
"1500000US110010038023","Block Group 3; Census Tract 38.02; District of Columbia; District of Columbia","1182","272",
"1500000US110010039011","Block Group 1; Census Tract 39.01; District of Columbia; District of Columbia","1299","291",
"1500000US110010039012","Block Group 2; Census Tract 39.01; District of Columbia; District of Columbia","1343","578",
"1500000US110010039021","Block Group 1; Census Tract 39.02; District of Columbia; District of Columbia","858","196",
"1500000US110010039022","Block Group 2; Census Tract 39.02; District of Columbia; District of Columbia","953","379",
"1500000US110010040011","Block Group 1; Census Tract 40.01; District of Columbia; District of Columbia","1664","492",
"1500000US110010040012","Block Group 2; Census Tract 40.01; District of Columbia; District of Columbia","733","261",
"1500000US110010040013","Block Group 3; Census Tract 40.01; District of Columbia; District of Columbia","1154","405",
"1500000US110010040014","Block Group 4; Census Tract 40.01; District of Columbia; District of Columbia","699","215",
"1500000US110010040021","Block Group 1; Census Tract 40.02; District of Columbia; District of Columbia","852","391",
"1500000US110010040022","Block Group 2; Census Tract 40.02; District of Columbia; District of Columbia","1641","415",
"1500000US110010040023","Block Group 3; Census Tract 40.02; District of Columbia; District of Columbia","653","233",
"1500000US110010041001","Block Group 1; Census Tract 41; District of Columbia; District of Columbia","1189","240",
